district,segment_id,point_id,point_code,su_id,su_date,su_date_year,su_date_month,su_date_day,start_time,start_time_hour,start_time_minute,dist_point,dist_m,imp_type,imp_type_qualifier,imp_list,imp_list_qualifier,wp_gps,coord_obs,coord_obs_srs,coord_obs_x,coord_obs_y,point_obs,not_obs,not_obs_qualifier,point_loc,lc_cat1,lc_group1,lc_code1,lc_code1_qualifier,lc_pct1,lc_sea1,lc_sea1_qualifier,lc_cat2,lc_group2,lc_code2,lc_code2_qualifier,lc_pct2,lc_sea2,lc_sea2_qualifier,lc_cat3,lc_group3,lc_code3,lc_code3_qualifier,lc_pct3,lc_sea3,lc_sea3_qualifier,pct_check,harvest,harvest_qualifier,d_harv,irrig,lc_remark,photo,remarks,entry_loc,entry_loc_qualifier,end_time
42,748,1,42-748-1,D2,09/11/2016,2016,11,9,14:55,14,55,lt2m,0.5,,,,,295,SRID=EPSG:4326;POINT(84.315850 27.438062),EPSG:4326,84.31585037,27.43806162,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,25/10/2016,0,P lought land,4470_37.jpg,,1,,14:57
42,748,2,42-748-2,D2,09/11/2016,2016,11,9,15:13,15,13,lt2m,0.5,,,,,297,SRID=EPSG:4326;POINT(84.317373 27.438116),EPSG:4326,84.31737319,27.43811606,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,05/11/2016,1,,4591_37.jpg,,1,,15:17
42,748,3,42-748-3,D1,09/11/2016,2016,11,9,14:54,14,54,lt2m,2,,,,,164,SRID=EPSG:4326;POINT(84.315895 27.436823),EPSG:4326,84.31589526,27.43682279,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,25/10/2016,1,,4268_37.jpg,,1,,14:56
42,748,4,42-748-4,D1,09/11/2016,2016,11,9,15:01,15,1,lt2m,2,,,,,165,SRID=EPSG:4326;POINT(84.317412 27.436747),EPSG:4326,84.31741151,27.4367469,1,,,2,O,E,E02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,,4308_37.jpg,,1,,15:03
42,752,1,42-752-1,D2,10/11/2016,2016,11,10,09:48,9,48,gt2m,7,2,,20,thick grass,335,SRID=EPSG:4326;POINT(84.336033 27.438436),EPSG:4326,84.33603317,27.43843619,1,,,2,O,F,F02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,,4997_37.jpg,,1,,09:50
42,752,2,42-752-2,D2,10/11/2016,2016,11,10,09:56,9,56,lt2m,0.2,,,,,336,SRID=EPSG:4326;POINT(84.337620 27.438532),EPSG:4326,84.33761965,27.43853205,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,30/10/2016,1,,5037_37.jpg,,1,,09:59
42,752,3,42-752-3,D1,10/11/2016,2016,11,10,09:44,9,44,lt2m,2,,,,,178,SRID=EPSG:4326;POINT(84.336040 27.437100),EPSG:4326,84.3360402,27.43709978,1,,,2,O,E,E01,,50,,,O,D,D20,,50,,,,,,,,,,100,,,null/null/null,,,4714_37.jpg,,1,,09:47
42,752,4,42-752-4,D1,10/11/2016,2016,11,10,09:53,9,53,lt2m,2,,,,,179,SRID=EPSG:4326;POINT(84.337677 27.437156),EPSG:4326,84.33767689,27.43715581,1,,,3,B,B1,B102,,80,2,,O,E,E02,,20,,,,,,,,,,100,1,,01/11/2016,1,,4754_37.jpg,,1,,09:55
42,753,1,42-753-1,D2,10/11/2016,2016,11,10,10:20,10,20,lt2m,0.5,,,,,338,SRID=EPSG:4326;POINT(84.341100 27.438617),EPSG:4326,84.3410999,27.438617,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,5078_37.jpg,,1,,10:22
42,753,2,42-753-2,D2,10/11/2016,2016,11,10,10:39,10,39,lt2m,0.2,,,,,339,SRID=EPSG:4326;POINT(84.300684 27.477950),EPSG:4326,84.3006841,27.4779499,1,,,2,B,B1,B102,,80,2,,O,F,F02,,20,,,,,,,,,,100,1,,05/11/2016,0,,5119_37.jpg,,1,,10:41
42,753,3,42-753-3,D1,10/11/2016,2016,11,10,10:16,10,16,lt2m,1,,,,,181,SRID=EPSG:4326;POINT(84.341135 27.437305),EPSG:4326,84.34113539,27.43730537,1,,,2,O,E,E02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,,4795_37.jpg,,1,,10:18
42,810,1,42-810-1,D2,09/11/2016,2016,11,9,16:20,16,20,lt2m,0.77,,,,,305,SRID=EPSG:4326;POINT(84.295454 27.442213),EPSG:4326,84.29545423,27.44221338,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,25/10/2016,1,,4632_37.jpg,,1,,16:22
42,810,2,42-810-2,D2,09/11/2016,2016,11,9,16:36,16,36,lt2m,1,,,,,307,SRID=EPSG:4326;POINT(84.297089 27.442259),EPSG:4326,84.29708946,27.44225885,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,25/10/2016,1,,4673_37.jpg,,1,,16:38
42,810,3,42-810-3,D1,09/11/2016,2016,11,9,16:13,16,13,lt2m,1,,,,,167,SRID=EPSG:4326;POINT(84.295545 27.440872),EPSG:4326,84.29554467,27.4408718,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,4349_37.jpg,,1,,16:15
42,810,4,42-810-4,D1,09/11/2016,2016,11,9,16:58,16,58,lt2m,1,,,,,312,SRID=EPSG:4326;POINT(84.297183 27.440827),EPSG:4326,84.29718276,27.44082738,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,10/10/2016,1,,4390_37.jpg,,1,,17:00
42,822,1,42-822-1,D2,10/11/2016,2016,11,10,11:26,11,26,lt2m,0.5,,,,,344,SRID=EPSG:4326;POINT(84.356221 27.443331),EPSG:4326,84.35622121,27.44333103,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,5160_37.jpg,,1,,11:28
42,822,2,42-822-2,D2,10/11/2016,2016,11,10,11:42,11,42,lt2m,0.22,,,,,346,SRID=EPSG:4326;POINT(84.357668 27.443417),EPSG:4326,84.35766783,27.44341668,1,,,3,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,30/10/2016,1,,5201_37.jpg,,1,,11:44
42,822,3,42-822-3,D1,10/11/2016,2016,11,10,11:27,11,27,lt2m,2,,,,,184,SRID=EPSG:4326;POINT(84.356201 27.442028),EPSG:4326,84.3562009,27.44202807,1,,,3,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,30/10/2016,1,,4916_37.jpg,,1,,11:28
42,822,4,42-822-4,D1,10/11/2016,2016,11,10,11:45,11,45,lt2m,2,,,,,186,SRID=EPSG:4326;POINT(84.357749 27.442036),EPSG:4326,84.35774926,27.44203561,1,,,4,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,4957_37.jpg,,1,,11:47
42,889,1,42-889-1,D2,09/11/2016,2016,11,9,14:06,14,6,gt2m,,2,,22,,290,SRID=EPSG:4326;POINT(84.305602 27.446915),EPSG:4326,84.30560202,27.44691468,1,,,2,O,H,H03,,50,,,O,F,F02,,50,,,,,,,,,,100,,,null/null/null,,,4390_37.jpg,,1,,14:08
42,889,2,42-889-2,D2,09/11/2016,2016,11,9,14:14,14,14,gt2m,52,1,,11,,290,SRID=EPSG:4326;POINT(84.306530 27.446763),EPSG:4326,84.30652957,27.44676277,1,,,2,O,F,F01,,80,,,O,D,D10,,20,,,,,,,,,,100,,,null/null/null,,Th ok grassland,4430_37.jpg,,1,,14:18
42,889,3,42-889-3,D1,09/11/2016,2016,11,9,14:02,14,2,lt2m,2,,,,,162,SRID=EPSG:4326;POINT(84.305595 27.445603),EPSG:4326,84.30559499,27.44560302,1,,,2,O,H,H01,,85,,,O,E,E02,,15,,,,,,,,,,100,,,null/null/null,,,4188_37.jpg,,1,,14:04
42,889,4,42-889-4,D1,09/11/2016,2016,11,9,14:11,14,11,lt2m,2,,,,,163,SRID=EPSG:4326;POINT(84.307151 27.445559),EPSG:4326,84.307151,27.44555854,1,,,2,O,H,H02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,River,4228_37.jpg,,1,,14:13
42,896,1,42-896-1,D2,10/11/2016,2016,11,10,08:59,8,59,lt2m,0.33,,,,,329,SRID=EPSG:4326;POINT(84.340976 27.447641),EPSG:4326,84.34097645,27.44764127,1,,,2,B,B1,B102,,70,2,,O,F,F02,,30,,,,,,,,,,100,1,,05/11/2016,1,,4956_37.jpg,,1,,09:02
42,896,2,42-896-2,D2,10/11/2016,2016,11,10,08:50,8,50,lt2m,1,,,,,328,SRID=EPSG:4326;POINT(84.342490 27.447633),EPSG:4326,84.34249047,27.44763324,1,,,2,O,F,F02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,,4916_37.jpg,,1,,08:52
42,896,3,42-896-3,D1,10/11/2016,2016,11,10,08:49,8,49,lt2m,1,,,,,176,SRID=EPSG:4326;POINT(84.340931 27.446233),EPSG:4326,84.34093141,27.44623324,1,,,3,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,4673_37.jpg,,1,,08:51
42,896,4,42-896-4,D1,10/11/2016,2016,11,10,08:40,8,40,lt2m,1,,,,,175,SRID=EPSG:4326;POINT(84.342478 27.446226),EPSG:4326,84.34247811,27.44622556,1,,,2,O,A,A22,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,Road,4633_37.jpg,,1,,08:44
42,989,1,42-989-1,D2,09/11/2016,2016,11,9,13:04,13,4,lt2m,1,,,,,287,SRID=EPSG:4326;POINT(84.315517 27.451621),EPSG:4326,84.31551686,27.45162141,1,,,4,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,4309_37.jpg,,1,,13:05
42,989,2,42-989-2,D2,09/11/2016,2016,11,9,13:10,13,10,lt2m,1,,,,,288,SRID=EPSG:4326;POINT(84.317034 27.451730),EPSG:4326,84.31703375,27.45173049,1,,,4,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,4349_37.jpg,,1,,13:11
42,989,3,42-989-3,D1,09/11/2016,2016,11,9,12:55,12,55,lt2m,2,,,,,158,SRID=EPSG:4326;POINT(84.315617 27.450284),EPSG:4326,84.3156172,27.45028364,1,,,3,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,03/11/2016,1,,4106_37.jpg,,1,,12:56
42,989,4,42-989-4,D1,09/11/2016,2016,11,9,13:06,13,6,lt2m,2,,,,,159,SRID=EPSG:4326;POINT(84.317065 27.450315),EPSG:4326,84.31706502,27.45031538,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,2,,12/11/2016,1,,4147_37.jpg,,1,,13:09
42,1107,1,42-1107-1,D2,10/11/2016,2016,11,10,07:46,7,46,lt2m,0.5,,,,,322,SRID=EPSG:4326;POINT(84.345706 27.456612),EPSG:4326,84.34570556,27.45661224,1,,,2,O,A,A21,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,In front of house,4835_37.jpg,,1,,07:49
42,1107,2,42-1107-2,D2,10/11/2016,2016,11,10,07:59,7,59,lt2m,0.89,,,,,323,SRID=EPSG:4326;POINT(84.347308 27.456714),EPSG:4326,84.34730796,27.45671386,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,4875_37.jpg,,1,,08:01
42,1107,3,42-1107-3,D1,10/11/2016,2016,11,10,07:45,7,45,lt2m,2,,,,,171,SRID=EPSG:4326;POINT(84.345710 27.455329),EPSG:4326,84.34570997,27.45532946,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,10/11/2016,1,,4552_37.jpg,,1,,07:47
42,1107,4,42-1107-4,D1,10/11/2016,2016,11,10,07:58,7,58,lt2m,1,,,,,172,SRID=EPSG:4326;POINT(84.347232 27.455392),EPSG:4326,84.34723169,27.45539151,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,30/10/2016,1,,4592_37.jpg,,1,,08:00
42,1221,1,42-1221-1,D2,10/11/2016,2016,11,10,06:52,6,52,lt2m,1.5,,,,,320,SRID=EPSG:4326;POINT(84.311542 27.481619),EPSG:4326,84.3115417,27.4816191,1,,,2,O,H,H03,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,0,Sandy and flooded area,4754_37.jpg,,1,,06:58
42,1221,2,42-1221-2,D2,10/11/2016,2016,11,10,07:31,7,31,lt2m,0.5,,,,,321,SRID=EPSG:4326;POINT(84.331957 27.460968),EPSG:4326,84.33195667,27.46096843,1,,,2,O,F,F01,,98,,,O,D,D10,,2,,,,,,,,,,100,,,null/null/null,,,4795_37.jpg,,1,,07:33
42,1221,3,42-1221-3,D1,10/11/2016,2016,11,10,06:50,6,50,lt2m,2,,,,,169,SRID=EPSG:4326;POINT(84.330479 27.459597),EPSG:4326,84.33047905,27.45959695,1,,,2,C,C2,C202,,100,1,,,,,,,,,,,,,,,,100,2,,25/05/2017,0,,4472_37.jpg,,1,,06:53
42,1221,4,42-1221-4,D1,10/11/2016,2016,11,10,06:59,6,59,gt2m,4,1,,15,,170,SRID=EPSG:4326;POINT(84.331935 27.459571),EPSG:4326,84.33193485,27.45957092,1,,,2,O,H,H02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,River,4512_37.jpg,,1,,07:01
42,1331,1,42-1331-1,D2,08/11/2016,2016,11,8,17:04,17,4,lt2m,0.5,,,,,253,SRID=EPSG:4326;POINT(84.284870 27.464584),EPSG:4326,84.28487035,27.46458356,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,3942_37.jpg,,1,,17:07
42,1331,2,42-1331-2,D2,08/11/2016,2016,11,8,16:49,16,49,gt2m,8,2,,26,,251,SRID=EPSG:4326;POINT(84.320055 27.455284),EPSG:4326,84.320055,27.4552836,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,2,,10/11/2016,1,,3901_37.jpg,Tablet GPS did not work,1,,16:51
42,1331,3,42-1331-3,D1,08/11/2016,2016,11,8,16:56,16,56,lt2m,2,,,,,141,SRID=EPSG:4326;POINT(84.284868 27.463225),EPSG:4326,84.2848678,27.46322457,1,,,2,O,E,E02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,Riverside,3702_37.jpg,,1,,16:57
42,1331,4,42-1331-4,D1,08/11/2016,2016,11,8,17:02,17,2,lt2m,1,,,,,142,SRID=EPSG:4326;POINT(84.286418 27.463166),EPSG:4326,84.28641822,27.46316641,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,3742_37.jpg,,1,,17:04
42,1449,1,42-1449-1,D2,08/11/2016,2016,11,8,16:13,16,13,lt2m,0.5,,,,,247,SRID=EPSG:4326;POINT(84.279671 27.469160),EPSG:4326,84.27967132,27.46916021,1,,,2,B,B4,B401,,100,3,,,,,,,,,,,,,,,,100,2,,05/02/2017,0,,3860_37.jpg,,1,,16:15
42,1449,2,42-1449-2,D2,08/11/2016,2016,11,8,15:54,15,54,gt2m,2.5,2,,20,by map,246,SRID=EPSG:4326;POINT(84.281378 27.468910),EPSG:4326,84.28137767,27.4689098,1,,,2,B,B4,B401,,100,3,,,,,,,,,,,,,,,,100,2,,25/01/2017,1,,3819_37.jpg,,1,,15:56
42,1449,3,42-1449-3,D1,08/11/2016,2016,11,8,15:51,15,51,lt2m,2,,,,,139,SRID=EPSG:4326;POINT(84.279950 27.467554),EPSG:4326,84.27995037,27.46755415,1,,,2,O,F,F02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,Ground,3661_37.jpg,,1,,15:56
42,1449,4,42-1449-4,D1,08/11/2016,2016,11,8,15:44,15,44,lt2m,1,,,,,138,SRID=EPSG:4326;POINT(84.281288 27.467644),EPSG:4326,84.28128846,27.46764397,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,3621_37.jpg,,1,,15:46
42,1573,1,42-1573-1,D2,08/11/2016,2016,11,8,15:06,15,6,lt2m,,,,,,240,SRID=EPSG:4326;POINT(84.284587 27.473587),EPSG:4326,84.28458724,27.47358709,1,,,4,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,25/10/2016,1,,3738_37.jpg,,1,,15:08
42,1573,2,42-1573-2,D2,08/11/2016,2016,11,8,15:24,15,24,lt2m,1.2,,,,,242,SRID=EPSG:4326;POINT(84.286140 27.473614),EPSG:4326,84.28614038,27.47361404,1,,,2,O,F,F02,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,,3779_37.jpg,,1,,15:26
42,1573,3,42-1573-3,D1,08/11/2016,2016,11,8,14:58,14,58,lt2m,1,,,,,135,SRID=EPSG:4326;POINT(84.284752 27.472239),EPSG:4326,84.28475166,27.47223916,1,,,2,O,A,A22,,100,,,,,,,,,,,,,,,,,100,,,null/null/null,,Rode,3540_37.jpg,Road area,1,,15:04
42,1573,4,42-1573-4,D1,08/11/2016,2016,11,8,15:12,15,12,lt2m,2,,,,,136,SRID=EPSG:4326;POINT(84.286250 27.472297),EPSG:4326,84.28624996,27.4722972,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,2,,10/11/2016,1,,3580_37.jpg,,1,,15:14
42,1581,1,42-1581-1,D2,09/11/2016,2016,11,9,07:47,7,47,lt2m,0.5,,,,,263,SRID=EPSG:4326;POINT(84.325077 27.474414),EPSG:4326,84.32507653,27.47441438,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,02/11/2016,1,,4023_37.jpg,,1,,07:50
42,1581,2,42-1581-2,D2,09/11/2016,2016,11,9,07:27,7,27,lt2m,1,,,,,261,SRID=EPSG:4326;POINT(84.326678 27.474316),EPSG:4326,84.3266783,27.47431638,1,,,2,O,A,A21,,60,,,O,A,A11,,40,,,,,,,,,,100,,,null/null/null,,,3983_37.jpg,,1,,07:36
42,1581,3,42-1581-3,D1,09/11/2016,2016,11,9,07:24,7,24,lt2m,1,,,,,144,SRID=EPSG:4326;POINT(84.325073 27.472996),EPSG:4326,84.32507319,27.47299564,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,03/11/2016,1,,3783_37.jpg,,1,,07:26
42,1581,4,42-1581-4,D1,09/11/2016,2016,11,9,07:32,7,32,lt2m,1,,,,,145,SRID=EPSG:4326;POINT(84.326752 27.472968),EPSG:4326,84.32675171,27.4729677,1,,,2,B,B4,B404,,100,2,,,,,,,,,,,,,,,,100,1,,05/08/2016,1,,3823_37.jpg,,1,,07:39
42,1583,1,42-1583-1,D2,09/11/2016,2016,11,9,08:36,8,36,lt2m,1.5,,,,,265,SRID=EPSG:4326;POINT(84.335256 27.474575),EPSG:4326,84.33525643,27.4745746,1,,,2,B,B4,B401,,100,3,,,,,,,,,,,,,,,,100,2,,15/02/2017,1,,4064_37.jpg,,1,,08:38
42,1583,2,42-1583-2,D2,09/11/2016,2016,11,9,08:59,8,59,lt2m,0.5,,,,,267,SRID=EPSG:4326;POINT(84.336755 27.474512),EPSG:4326,84.33675471,27.47451242,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,4105_37.jpg,,1,,09:01
42,1583,3,42-1583-3,D1,09/11/2016,2016,11,9,08:34,8,34,lt2m,2,,,,,148,SRID=EPSG:4326;POINT(84.335279 27.473123),EPSG:4326,84.33527894,27.47312293,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,09/11/2016,1,,3864_37.jpg,,1,,08:36
42,1583,4,42-1583-4,D1,09/11/2016,2016,11,9,08:43,8,43,lt2m,2,,,,,149,SRID=EPSG:4326;POINT(84.336828 27.473247),EPSG:4326,84.33682831,27.47324694,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,09/11/2016,1,,3904_37.jpg,,1,,08:44
42,1699,1,42-1699-1,D2,08/11/2016,2016,11,8,13:55,13,55,lt2m,1.8,,,,,233,SRID=EPSG:4326;POINT(84.274401 27.477674),EPSG:4326,84.27440126,27.47767447,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,3657_37.jpg,,1,,13:56
42,1699,2,42-1699-2,D2,08/11/2016,2016,11,8,14:01,14,1,lt2m,1,,,,,234,SRID=EPSG:4326;POINT(84.275923 27.477901),EPSG:4326,84.27592257,27.47790128,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,02/11/2016,1,,3697_37.jpg,,1,,14:03
42,1699,3,42-1699-3,D1,08/11/2016,2016,11,8,13:56,13,56,lt2m,2,,,,,132,SRID=EPSG:4326;POINT(84.274496 27.476638),EPSG:4326,84.27449605,27.47663774,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,3459_37.jpg,,1,,13:58
42,1699,4,42-1699-4,D1,08/11/2016,2016,11,8,14:03,14,3,lt2m,1,,,,,133,SRID=EPSG:4326;POINT(84.276079 27.476604),EPSG:4326,84.276079,27.47660431,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,3499_37.jpg,,1,,14:05
42,1711,1,42-1711-1,D2,09/11/2016,2016,11,9,09:36,9,36,lt2m,0.55,,,,,270,SRID=EPSG:4326;POINT(84.335136 27.479068),EPSG:4326,84.3351363,27.47906828,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,4146_37.jpg,,1,,09:38
42,1711,2,42-1711-2,D2,09/11/2016,2016,11,9,09:55,9,55,lt2m,0.5,,,,,273,SRID=EPSG:4326;POINT(84.336575 27.479183),EPSG:4326,84.33657472,27.47918336,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,1,,4187_37.jpg,,1,,09:57
42,1711,3,42-1711-3,D1,09/11/2016,2016,11,9,09:32,9,32,lt2m,1,,,,,152,SRID=EPSG:4326;POINT(84.335182 27.477732),EPSG:4326,84.33518249,27.47773233,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,05/11/2016,1,,3945_37.jpg,,1,,09:34
42,1711,4,42-1711-4,D1,09/11/2016,2016,11,9,09:39,9,39,gt2m,22,2,,26,,153,SRID=EPSG:4326;POINT(84.336648 27.477974),EPSG:4326,84.33664757,27.47797384,1,,,2,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,2,,15/11/2016,1,,3985_37.jpg,,1,,09:41
42,1836,1,42-1836-1,D2,09/11/2016,2016,11,9,11:02,11,2,gt2m,3,2,,20,according to map,278,SRID=EPSG:4326;POINT(84.314779 27.483230),EPSG:4326,84.31477863,27.48322984,1,,,4,B,B1,B102,,100,2,,,,,,,,,,,,,,,,100,1,,01/11/2016,0,,4228_37.jpg,,1,,11:04
