LC_CategoryID,LC_CategoryName,LC_GroupID,LC_GroupName,LC_CodeId,LC_CodeName
C,Permenant crops,C2,Fruit trees and berries,C203,Guava
C,Permenant crops,C2,Fruit trees and berries,C204,Jackfruit
C,Permenant crops,C2,Fruit trees and berries,C205,Pineapple
C,Permenant crops,C2,Fruit trees and berries,C206,Lychee
C,Permenant crops,C2,Fruit trees and berries,C207,Apple
C,Permenant crops,C2,Fruit trees and berries,C208,Pear
C,Permenant crops,C2,Fruit trees and berries,C209,Peach
C,Permenant crops,C2,Fruit trees and berries,C210,Papaya
C,Permenant crops,C2,Fruit trees and berries,C211,Pomegranate
C,Permenant crops,C2,Fruit trees and berries,C212,Coconut
C,Permenant crops,C2,Fruit trees and berries,C213,Wallnut
C,Permenant crops,C2,Fruit trees and berries,C214,Beetle nut
C,Permenant crops,C2,Fruit trees and berries,C215,"Other fruits trees, berries"
C,Permenant crops,C3,Other permanent crops,C301,Tea
C,Permenant crops,C3,Other permanent crops,C302,Coffee
C,Permenant crops,C3,Other permanent crops,C303,Alainch
C,Permenant crops,C3,Other permanent crops,C304,Amriso
C,Permenant crops,C3,Other permanent crops,C305,Thatch
C,Permenant crops,C3,Other permanent crops,C306,Fodder tree
C,Permenant crops,C3,Other permanent crops,C307,Multi-year fodder
C,Permenant crops,C3,Other permanent crops,C308,Bamboo
C,Permenant crops,C3,Other permanent crops,C309,Other permanent crops
C,Permenant crops,C4,Nurseries,C401,Nurseries
O,Non-agricultural,A,Artificial land,A11,Buildings
O,Non-agricultural,A,Artificial land,A12,Greenhouses
O,Non-agricultural,A,Artificial land,A21,Non built-up area features
O,Non-agricultural,A,Artificial land,A22,Non built-up linear features
O,Non-agricultural,D,Woodland,D10,Forest
O,Non-agricultural,D,Woodland,D20,Other wooded area
O,Non-agricultural,D,Woodland,D30,Timber plantations
O,Non-agricultural,E,Shrubland,E01,Shrubland with sparse tree cover
O,Non-agricultural,E,Shrubland,E02,Shrubland without tree cover
O,Non-agricultural,F,Permanent Grassland,F01,Permanent grassland with sparse tree/shrub cover
O,Non-agricultural,F,Permanent Grassland,F02,Permanent grassland without tree/shrub cover
O,Non-agricultural,G,Bare Land,G00,Bare land
O,Non-agricultural,H,Water and Wetland,H01,Inland water bodies
O,Non-agricultural,H,Water and Wetland,H02,Inland running water
O,Non-agricultural,H,Water and Wetland,H03,Wetland
O,Non-agricultural,H,Water and Wetland,H04,"Glaciers, permanent snow"
